Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    5793    99812     1676    97664        0    74512        2 68499848   824279 54764954  4507234   489699       60549    138603   530072   210055  4582053 12358828  1271000    18397      224    23116 
    5138    95052     1911    92417        0    78458        0    69083      115    67208     7908      118       60914    128466   599515   216543      643    70363      212        0        0        0 
    5127    96248     2441    92929        0    76308        0    69948        8    67473      130      297       61482    130136   666428   216407     3235    70213      266        0        0        0 
    1032    98710     2453    95560        0    74455        0    36107        0    35674        8      230       61501    135222   696925   216362      289    30867        6        0        0        0 
    3941    97266     2521    94320        0    74891      192    31974        4    31594        6      194       61583    132524   730743   216592      860    34684       45        0        0        0 
    4765    97260     2430    93906        0    74615        6    66287        0    66035       14      195       61494    132102   796373   216640      331    66293        3        0        0        0 
    4998    97170      728    95441        0    74620        0    66595        0    66446        1        6       59792    133547   860539   216587      403    64588        0        1        0        0 
    5081    96617      893    94684        0    76172        0    74465      254    69353       16      259       59975    132219   929128   216094     1776    70451      188        0        0        0 
    5790    95778      352    95047        0    75453        0    66661        0    66430      216       43       59442    131735   993904   217075      268    65045       10       22        0        0 
    5267    96773      283    95166        0    74997        0    66299        0    66065        9      239       59373    132849  1058330   217204      722    65152        0        0        0        0 
    2875    95981      302    93969        0    79288        0    25670        1    15741        0     1344       59353    130899  1068962   215966     4010    14692        7        0       16        0 
    5306    98082      300    93236        0    74695      277    56671        0    56434      180        0       59351    132267  1128843   217985      160    60593        0        0        0        0 
    5145    95932      284    94982        0    74629      390    65885        0    65687        4      407       59335    131863  1194378   218628      119    65668        0        0        0        0 
   45332    75913      288    75268        0    74606      394     1553        0       67        0        0       59337     92132   578634   218148     1153        0        0        0        0        0 
   45226    75948      289    75284        0    74649      394      146        0       61        0        0       59338     92183   578528   218137       96        0        0        0        4        0 
   45125    76053      301    75382        0    74645      396      396        0       70        0        0       59351     92385   578265   218062      255        0        9        0        0        0 
   44624    76371      300    75562        0    74645      396      645        0      473        0        0       59351     92882   578141   218030      123        0        0        0        0        0 
   44561    76404      304    75587        0    74645      397      202        0       42        0        0       59360     92935   578012   218003      101        0        9        0        0        0 
   44545    76426      304    75607        0    74645      396      112        0       28        0        0       59360     92977   577960   217999       50        0        0        0        0        0 
   44332    76649      304    75819        0    74645      396      665        0       35        0        0       59360     93412   577508   217888      451        0        0        0        0        0 
   43878    76872      304    76026        0    74646      395     1007        0       45        0        0       59360     93842   577067   217831      439        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   43873    76875      304    76030        0    74646      395 69200283   824661 55439940  4515726   493031       59360     93849   576979   217820  4597560 13037437  1271755    18420      244    23116 
   43449    77186      304    76312        0    74646      395      982        0       89        0        0       59360     94442   576341   217580      589        0        0        0        0        0 
   43491    77209      304    76325        0    74646      398       77        0       36        0        0       59360     94478   576314   217574       27        0        0        0        0        0 
   43467    77220      305    76331        0    74646      398       71        0       25        0        0       59361     94495   576291   217572       23        0        0        0        0        0 
   41438    78445      307    76850        0    74880        7     3481        0     2117        0        0       59376     96226   575979   217542      272        0       13        0        0        0 
   41178    78339      307    77350        0    74872        7      621        0       69        0        0       59376     96620   575607   217432      372        0        0        0        0        0 
   41187    78472      307    77505        0    74634       91      157        0       29        0        0       59376     96908   575533   217418       73        0        0        0        0        0 
   41303    78507      310    77510        0    74634       91      338        0       41        0        0       59379     96948   575156   217260      206        0        0        0        0        0 
   39840    80205      603    78243        0    74634       91     4162        0      725        0        0       59674     99377   573307   216102     1759        0        3        0        0        0 
   39717    80263      610    78285        0    74634       91      227        0       76        0        0       59682     99476   573206   216066       98        0        2        0        0        0 
   39667    80304      610    78320        0    74634       91      143        0       41        9        0       59683     99551   573133   216038       73        0        1        0        0        0 
   39604    80337      628    78360        0    74634       91      183        0       36       31        0       59681     99644   573047   216010       84        0        0        0        0        0 
   39616    80354      628    78355        0    74634       88       89        0       50        0        0       59681     99656   573026   216003       21        0        0        0        0        0 
   39524    80374      628    78361        0    74634       88       65        0       25        0        0       59681     99682   573000   215999       26        0        0        0        0        0 
   39497    80390      628    78371        0    74634       88       74        0       29        0        0       59681     99708   572980   215992       20        0        0        0        0        0 
   39528    80398      628    78375        0    74634       88       44        0       25        0        0       59681     99720   572972   215989        8        0        0        0        0        0 
